date,Ridership,weather,day temp,night temp,barclays-center_event_occurred,beacon-theatre_event_occurred,blue-note-jazz-club_event_occurred,brooklyn-bowl_event_occurred,carnegie-hall_event_occurred,city-winery-the-loft_event_occurred,total_comedy,total_events,total_film-screenings,forest-hills-stadium_event_occurred,irving-plaza_event_occurred,kings-theatre_event_occurred,lincoln-center_event_occurred,madison-square-garden_event_occurred,mercury-lounge_event_occurred,metlife-stadium_event_occurred,total_music,palladium-times-square_event_occurred,radio-city-music-hall_event_occurred,sony-hall_event_occurred,terminal-5_event_occurred,the-bowery-ballroom_event_occurred,the-town-hall_event_occurred,yankee-stadium_event_occurred
4/13/20,363312,Heavy intensity rain,57,57,0,0,1,0,0,0,12,99,4,0,0,0,0,0,0,0,40,0,0,0,0,1,1,0
4/14/20,430155,Clear sky,55,54,0,0,1,1,0,0,12,110,33,0,0,0,0,1,0,0,39,0,0,0,0,1,0,0
4/15/20,419059,Few clouds,50,46,1,0,1,0,0,0,10,119,35,0,0,0,0,0,0,0,58,0,0,0,0,0,1,0
4/16/20,420223,Partly cloudy,46,46,0,0,1,1,0,0,7,148,51,0,0,0,0,0,0,0,66,0,0,1,1,0,1,0
4/17/20,432368,Overcast clouds,48,41,1,0,1,1,0,1,13,189,57,0,0,0,0,0,0,0,88,0,0,1,1,1,1,1
4/18/20,254453,Light intensity drizzle,43,43,1,0,1,1,0,1,12,171,16,0,0,0,0,0,0,0,96,0,1,1,0,1,1,1
4/19/20,224411,Clear sky,59,43,0,0,1,1,0,0,13,124,6,0,0,1,0,0,0,0,65,0,1,1,1,1,1,1
4/20/20,437852,Overcast clouds,55,54,0,1,1,1,0,0,12,117,51,0,0,0,0,0,0,0,38,0,0,1,0,0,1,0
4/21/20,422107,Moderate rain,55,48,0,0,1,1,0,0,12,111,24,0,0,0,0,0,0,0,54,0,1,0,0,0,0,0
4/22/20,458781,Broken clouds,48,39,0,0,1,1,0,0,8,107,32,0,0,0,0,0,0,0,48,0,0,1,0,1,1,0
4/23/20,453520,Broken clouds,48,41,0,0,1,1,0,1,6,133,40,0,0,1,0,0,0,0,69,0,0,0,1,1,1,0
