date,total_events
2021-06-20,39.0
2021-06-21,20.0
2021-06-22,32.0
2021-06-23,46.0
2021-06-24,45.0
2021-06-25,67.0
2021-06-26,75.0
2021-06-27,47.0
2021-06-28,22.0
2021-06-29,30.0
2021-06-30,39.0
2021-07-01,30.0
2021-07-02,46.0
2021-07-03,39.0
2021-07-04,20.0
2021-07-05,11.0
2021-07-06,13.0
2021-07-07,30.0
2021-07-08,42.0
2021-07-09,56.0
2021-07-10,64.0
2021-07-11,39.0
2021-07-12,17.0
2021-07-13,25.0
2021-07-14,33.0
2021-07-15,36.0
2021-07-16,54.0
2021-07-17,67.0
2021-07-18,43.0
2021-07-19,23.0
2021-07-20,35.0
2021-07-21,50.0
2021-07-22,51.0
2021-07-23,80.0
2021-07-24,93.0
2021-07-25,47.0
2021-07-26,27.0
2021-07-27,41.0
2021-07-28,47.0
2021-07-29,64.0
2021-07-30,82.0
2021-07-31,84.0
2021-08-01,48.0
2021-08-02,31.0
2021-08-03,46.0
2021-08-04,51.0
2021-08-05,75.0
2021-08-06,106.0
2021-08-07,122.0
2021-08-08,80.0
2021-08-09,50.0
2021-08-10,57.0
2021-08-11,63.0
2021-08-12,84.0
2021-08-13,109.0
2021-08-14,125.0
2021-08-15,76.0
2021-08-16,40.0
2021-08-17,61.0
2021-08-18,67.0
2021-08-19,81.0
2021-08-20,113.0
2021-08-21,124.0
2021-08-22,80.0
2021-08-23,34.0
2021-08-24,50.0
2021-08-25,72.0
2021-08-26,89.0
2021-08-27,141.0
2021-08-28,169.0
2021-08-29,104.0
2021-08-30,55.0
2021-08-31,61.0
2021-09-01,81.0
2021-09-02,94.0
2021-09-03,134.0
2021-09-04,148.0
2021-09-05,95.0
2021-09-06,39.0
2021-09-07,51.0
2021-09-08,87.0
2021-09-09,118.0
2021-09-10,135.0
2021-09-11,135.0
2021-09-12,91.0
2021-09-13,56.0
2021-09-14,69.0
2021-09-15,73.0
2021-09-16,94.0
2021-09-17,136.0
2021-09-18,144.0
2021-09-19,106.0
2021-09-20,55.0
2021-09-21,63.0
2021-09-22,78.0
2021-09-23,98.0
2021-09-24,120.0
2021-09-25,139.0
2021-09-26,100.0
2021-09-27,55.0
2021-09-28,75.0
2021-09-29,77.0
2021-09-30,105.0
2021-10-01,129.0
2021-10-02,149.0
2021-10-03,103.0
2021-10-04,59.0
2021-10-05,74.0
2021-10-06,97.0
2021-10-07,109.0
2021-10-08,124.0
2021-10-09,139.0
2021-10-10,100.0
2021-10-11,64.0
2021-10-12,67.0
2021-10-13,0.0
2021-10-14,129.0
2021-10-15,155.0
2021-10-16,162.0
2021-10-17,102.0
2021-10-18,63.0
2021-10-19,74.0
2021-10-20,93.0
2021-10-21,117.0
2021-10-22,158.0
2021-10-23,159.0
2021-10-24,107.0
2021-10-25,68.0
2021-10-26,91.0
2021-10-27,99.0
2021-10-28,117.0
2021-10-29,170.0
2021-10-30,157.0
2021-10-31,136.0
2021-11-01,56.0
2021-11-02,69.0
2021-11-03,97.0
2021-11-04,123.0
2021-11-05,137.0
2021-11-06,151.0
2021-11-07,119.0
2021-11-08,62.0
2021-11-09,77.0
2021-11-10,98.0
2021-11-11,115.0
2021-11-12,151.0
2021-11-13,165.0
2021-11-14,120.0
2021-11-15,57.0
2021-11-16,92.0
2021-11-17,92.0
2021-11-18,111.0
2021-11-19,135.0
2021-11-20,154.0
2021-11-21,109.0
2021-11-22,53.0
2021-11-23,81.0
2021-11-24,95.0
2021-11-25,18.0
2021-11-26,107.0
2021-11-27,131.0
2021-11-28,83.0
2021-11-29,52.0
2021-11-30,87.0
2021-12-01,72.0
2021-12-02,100.0
2021-12-03,119.0
2021-12-04,151.0
2021-12-05,118.0
2021-12-06,59.0
2021-12-07,81.0
2021-12-08,86.0
2021-12-09,104.0
2021-12-10,123.0
2021-12-11,154.0
2021-12-12,110.0
2021-12-13,53.0
2021-12-14,66.0
2021-12-15,81.0
2021-12-16,97.0
2021-12-17,117.0
2021-12-18,126.0
2021-12-19,102.0
2021-12-20,54.0
2021-12-21,42.0
2021-12-22,66.0
2021-12-23,59.0
2021-12-24,47.0
2021-12-25,34.0
2021-12-26,55.0
2021-12-27,54.0
2021-12-28,49.0
2021-12-29,66.0
2021-12-30,66.0
2021-12-31,124.0
2022-01-01,33.0
2022-01-02,21.0
2022-01-03,13.0
2022-01-04,19.0
2022-01-05,31.0
2022-01-06,44.0
2022-01-07,57.0
2022-01-08,69.0
2022-01-09,53.0
2022-01-10,35.0
2022-01-11,35.0
2022-01-12,43.0
2022-01-13,58.0
2022-01-14,68.0
2022-01-15,63.0
2022-01-16,58.0
2022-01-17,36.0
2022-01-18,44.0
2022-01-19,51.0
2022-01-20,57.0
2022-01-21,81.0
2022-01-22,89.0
2022-01-23,58.0
2022-01-24,34.0
2022-01-25,43.0
2022-01-26,45.0
2022-01-27,68.0
2022-01-28,76.0
2022-01-29,80.0
2022-01-30,41.0
2022-01-31,24.0
2022-02-01,38.0
2022-02-02,51.0
2022-02-03,62.0
2022-02-04,81.0
2022-02-05,101.0
2022-02-06,75.0
2022-02-07,33.0
2022-02-08,46.0
2022-02-09,38.0
2022-02-10,85.0
2022-02-11,81.0
2022-02-12,107.0
2022-02-13,58.0
2022-02-14,48.0
2022-02-15,43.0
2022-02-16,53.0
2022-02-17,78.0
2022-02-18,105.0
2022-02-19,109.0
2022-02-20,78.0
2022-02-21,45.0
2022-02-22,58.0
2022-02-23,64.0
2022-02-24,105.0
2022-02-25,121.0
2022-02-26,134.0
2022-02-27,91.0
2022-02-28,55.0
2022-03-01,65.0
2022-03-02,76.0
2022-03-03,90.0
2022-03-04,126.0
2022-03-05,135.0
2022-03-06,91.0
2022-03-07,45.0
2022-03-08,68.0
2022-03-09,86.0
2022-03-10,109.0
2022-03-11,131.0
2022-03-12,163.0
2022-03-13,109.0
2022-03-14,55.0
2022-03-15,80.0
2022-03-16,81.0
2022-03-17,117.0
2022-03-18,139.0
2022-03-19,156.0
2022-03-20,103.0
2022-03-21,43.0
2022-03-22,83.0
2022-03-23,89.0
2022-03-24,148.0
2022-03-25,163.0
2022-03-26,233.0
2022-03-27,122.0
2022-03-28,80.0
2022-03-29,103.0
2022-03-30,114.0
2022-03-31,150.0
2022-04-01,194.0
2022-04-02,209.0
2022-04-03,129.0
2022-04-04,70.0
2022-04-05,94.0
2022-04-06,110.0
2022-04-07,145.0
2022-04-08,166.0
2022-04-09,189.0
2022-04-10,130.0
2022-04-11,66.0
2022-04-12,91.0
2022-04-13,104.0
2022-04-14,129.0
2022-04-15,148.0
2022-04-16,176.0
2022-04-17,78.0
2022-04-18,72.0
2022-04-19,50.0
2022-04-20,180.0
2022-04-21,155.0
2022-04-22,205.0
2022-04-23,223.0
2022-04-24,153.0
2022-04-25,66.0
2022-04-26,101.0
2022-04-27,110.0
2022-04-28,138.0
2022-04-29,197.0
2022-04-30,222.0
2022-05-01,136.0
2022-05-02,74.0
2022-05-03,94.0
2022-05-04,116.0
2022-05-05,131.0
2022-05-06,180.0
2022-05-07,233.0
2022-05-08,138.0
2022-05-09,94.0
2022-05-10,100.0
2022-05-11,127.0
2022-05-12,153.0
2022-05-13,179.0
2022-05-14,203.0
2022-05-15,136.0
2022-05-16,72.0
2022-05-17,113.0
2022-05-18,137.0
2022-05-19,162.0
2022-05-20,268.0
2022-05-21,241.0
2022-05-22,159.0
2022-05-23,99.0
2022-05-24,98.0
2022-05-25,119.0
2022-05-26,130.0
2022-05-27,179.0
2022-05-28,250.0
2022-05-29,183.0
2022-05-30,0.0
2022-05-31,78.0
2022-06-01,100.0
2022-06-02,113.0
2022-06-03,165.0
2022-06-04,197.0
2022-06-05,110.0
2022-06-06,61.0
2022-06-07,101.0
2022-06-08,121.0
2022-06-09,134.0
2022-06-10,174.0
2022-06-11,195.0
2022-06-12,131.0
2022-06-13,67.0
2022-06-14,114.0
2022-06-15,131.0
2022-06-16,209.0
2022-06-17,241.0
2022-06-18,292.0
2022-06-19,208.0
2022-06-20,129.0
2022-06-21,146.0
2022-06-22,166.0
2022-06-23,190.0
2022-06-24,226.0
2022-06-25,298.0
2022-06-26,207.0
2022-06-27,96.0
2022-06-28,129.0
2022-06-29,155.0
2022-06-30,179.0
2022-07-01,186.0
2022-07-02,182.0
2022-07-03,141.0
2022-07-04,62.0
2022-07-05,89.0
2022-07-06,143.0
2022-07-07,152.0
2022-07-08,187.0
2022-07-09,230.0
2022-07-10,168.0
2022-07-11,101.0
2022-07-12,119.0
2022-07-13,149.0
2022-07-14,179.0
2022-07-15,190.0
2022-07-16,228.0
2022-07-17,174.0
2022-07-18,79.0
2022-07-19,110.0
2022-07-20,159.0
2022-07-21,170.0
2022-07-22,199.0
2022-07-23,262.0
2022-07-24,165.0
2022-07-25,98.0
2022-07-26,123.0
2022-07-27,145.0
2022-07-28,182.0
2022-07-29,196.0
2022-07-30,214.0
2022-07-31,171.0
2022-08-01,78.0
2022-08-02,103.0
2022-08-03,149.0
2022-08-04,186.0
