date,ridership
8/22/2021,745240
8/23/2021,2052669
8/24/2021,2462365
8/25/2021,2498255
8/26/2021,2480137
8/27/2021,2388210
8/28/2021,1659434
8/29/2021,1398566
8/30/2021,2321000
8/31/2021,2532584
9/1/2021,2294448
9/2/2021,1661558
9/3/2021,2390392
9/4/2021,1777639
9/5/2021,1415352
9/6/2021,1521388
9/7/2021,2233674
9/8/2021,2529619
9/9/2021,2702713
9/10/2021,2840443
9/11/2021,1983091
9/12/2021,1589976
9/13/2021,2852796
9/14/2021,3011275
9/15/2021,2987334
9/16/2021,2534545
9/17/2021,3028545
9/18/2021,2014848
9/19/2021,1596823
9/20/2021,2883211
9/21/2021,3018312
9/22/2021,3021113
9/23/2021,3016106
9/24/2021,3121747
9/25/2021,2129492
9/26/2021,1614677
9/27/2021,2873368
9/28/2021,2927715
9/29/2021,3063720
9/30/2021,3146861
10/1/2021,3162881
10/2/2021,2063660
10/3/2021,1575738
10/4/2021,2864349
10/5/2021,3091160
10/6/2021,3140986
10/7/2021,3190747
10/8/2021,3168473
10/9/2021,2052699
10/10/2021,1499385
10/11/2021,2263615
10/12/2021,3102879
10/13/2021,3157457
10/14/2021,3240686
10/15/2021,3227068
10/16/2021,2042027
10/17/2021,1629991
10/18/2021,2982883
10/19/2021,3178208
10/20/2021,3234327
10/21/2021,3267697
10/22/2021,3225816
10/23/2021,2077488
10/24/2021,1599927
10/25/2021,2994936
10/26/2021,2702635
10/27/2021,3300580
10/28/2021,3365971
10/29/2021,3251779
10/30/2021,2044310
10/31/2021,1746769
11/1/2021,3034306
11/2/2021,2848222
11/3/2021,3293732
11/4/2021,3284315
11/5/2021,3293438
11/6/2021,2195864
11/7/2021,1888985
11/8/2021,3065533
11/9/2021,3279457
11/10/2021,3351992
11/11/2021,2922235
11/12/2021,3158682
11/13/2021,2169863
11/14/2021,1703136
11/15/2021,3110969
11/16/2021,3340844
11/17/2021,3369069
11/18/2021,3412249
11/19/2021,3316999
11/20/2021,2135731
11/21/2021,1674206
11/22/2021,3130363
11/23/2021,3286591
11/24/2021,3085289
11/25/2021,1357198
11/26/2021,2089772
11/27/2021,1880422
11/28/2021,1465745
11/29/2021,2996015
11/30/2021,3207209
12/1/2021,3326469
12/2/2021,3358843
12/3/2021,3374097
12/4/2021,2318147
12/5/2021,1737352
12/6/2021,3135869
12/7/2021,3367790
12/8/2021,3378727
12/9/2021,3433600
12/10/2021,3417451
12/11/2021,2266265
12/12/2021,1829872
12/13/2021,3120850
12/14/2021,3274170
12/15/2021,3242168
12/16/2021,3219799
12/17/2021,3112088
12/18/2021,1880969
12/19/2021,1579809
12/20/2021,2716451
12/21/2021,2697325
12/22/2021,2634565
12/23/2021,2486489
12/24/2021,1575449
12/25/2021,810937
12/26/2021,1284738
12/27/2021,2007649
12/28/2021,2168419
12/29/2021,2167077
12/30/2021,2198415
12/31/2021,1627589
1/1/2022,1027918
1/2/2022,1219735
