date,weather,high_temp,low_temp
2020-12-01,Partly cloudy,+52°,+61°
2020-12-02,Overcast clouds,+45°,+39°
2020-12-03,Partly cloudy,+50°,+39°
2020-12-04,Overcast clouds,+52°,+46°
2020-12-05,Heavy rain in places,+41°,+46°
2020-12-06,Clear sky,+41°,+39°
2020-12-07,Few clouds,+41°,+34°
2020-12-08,Clear sky,+37°,+32°
2020-12-09,Drizzle,+39°,+32°
2020-12-10,Clear sky,+48°,+37°
2020-12-11,Broken clouds,+52°,+41°
2020-12-12,Drizzle,+52°,+48°
2020-12-13,Broken clouds,+57°,+54°
2020-12-14,Heavy intensity rain,+37°,+45°
2020-12-15,Few clouds,+39°,+36°
2020-12-16,Overcast clouds,+32°,+30°
2020-12-17,Overcast clouds,+28°,+30°
2020-12-18,Clear sky,+32°,+27°
2020-12-19,Broken clouds,+30°,+25°
2020-12-20,Partly clear and wet snow at times,+36°,+30°
2020-12-21,Broken clouds,+41°,+36°
2020-12-22,Clear sky,+45°,+39°
2020-12-23,Broken clouds,+43°,+39°
2020-12-24,Overcast clouds,+57°,+45°
2020-12-25,Heavy intensity rain,+54°,+59°
2020-12-26,Clear sky,+32°,+32°
2020-12-27,Partly cloudy,+39°,+28°
2020-12-28,Few clouds,+50°,+36°
2020-12-29,Partly cloudy,+39°,+41°
2020-12-30,Broken clouds,+39°,+30°
2020-12-31,Light intensity drizzle,+45°,+43°
2021-01-01,Overcast clouds,+39°,+34°
2021-01-02,Overcast clouds,+50°,+41°
2021-01-03,Light intensity drizzle,+37°,+36°
2021-01-04,Few clouds,+43°,+36°
2021-01-05,Overcast clouds,+41°,+37°
2021-01-06,Clear sky,+41°,+37°
2021-01-07,Clear sky,+41°,+34°
2021-01-08,Partly cloudy,+39°,+32°
2021-01-09,Overcast clouds,+34°,+30°
2021-01-10,Few clouds,+39°,+32°
2021-01-11,Overcast clouds,+36°,+32°
2021-01-12,Clear sky,+41°,+34°
2021-01-13,Broken clouds,+41°,+34°
2021-01-14,Overcast clouds,+46°,+37°
2021-01-15,Overcast clouds,+43°,+36°
2021-01-16,Partly cloudy,+46°,+45°
2021-01-17,Partly cloudy,+43°,+37°
2021-01-18,Partly cloudy,+45°,+41°
2021-01-19,Broken clouds,+41°,+36°
2021-01-20,Few clouds,+41°,+34°
2021-01-21,Partly cloudy,+39°,+28°
2021-01-22,Broken clouds,+43°,+36°
2021-01-23,Partly cloudy,+30°,+34°
2021-01-24,Partly cloudy,+32°,+25°
2021-01-25,Broken clouds,+36°,+28°
2021-01-26,Rain and snow,+32°,+32°
2021-01-27,Broken clouds,+39°,+36°
2021-01-28,Clear sky,+32°,+30°
2021-01-29,Clear sky,+23°,+21°
2021-01-30,Clear sky,+28°,+19°
2021-01-31,Overcast clouds,+25°,+25°
2021-02-01,Heavy snow,+28°,+27°
2021-02-02,Snow,+32°,+34°
2021-02-03,Overcast clouds,+36°,+30°
2021-02-04,Clear sky,+39°,+32°
2021-02-05,Partly cloudy,+43°,+36°
2021-02-06,Clear sky,+43°,+36°
2021-02-07,Heavy snow,+34°,+34°
2021-02-08,Clear sky,+28°,+25°
2021-02-09,Rain and snow,+34°,+25°
2021-02-10,Clear sky,+34°,+28°
2021-02-11,Broken clouds,+32°,+30°
2021-02-12,Overcast clouds,+27°,+25°
2021-02-13,Overcast clouds,+27°,+27°
2021-02-14,Overcast clouds,+36°,+30°
2021-02-15,Cloudy and light snow,+34°,+34°
2021-02-16,Clear sky,+48°,+37°
2021-02-17,Broken clouds,+30°,+32°
2021-02-18,Heavy snow,+27°,+27°
2021-02-19,Snow,+32°,+30°
2021-02-20,Overcast clouds,+32°,+32°
2021-02-21,Clear sky,+34°,+27°
2021-02-22,Shower sleet,+36°,+30°
2021-02-23,Drizzle,+39°,+37°
2021-02-24,Few clouds,+50°,+41°
2021-02-25,Clear sky,+46°,+48°
2021-02-26,Few clouds,+45°,+36°
2021-02-27,Heavy intensity rain,+50°,+41°
2021-02-28,Overcast clouds,+45°,+43°
2021-03-01,Light intensity drizzle,+46°,+45°
2021-03-02,Clear sky,+32°,+30°
2021-03-03,Clear sky,+50°,+32°
2021-03-04,Broken clouds,+41°,+43°
2021-03-05,Clear sky,+36°,+28°
2021-03-06,Broken clouds,+34°,+32°
2021-03-07,Few clouds,+39°,+28°
2021-03-08,Clear sky,+39°,+30°
2021-03-09,Clear sky,+61°,+41°
2021-03-10,Partly cloudy,+54°,+45°
2021-03-11,Clear sky,+66°,+48°
2021-03-12,Few clouds,+64°,+61°
2021-03-13,Clear sky,+46°,+48°
2021-03-14,Partly cloudy,+50°,+45°
2021-03-15,Clear sky,+36°,+30°
2021-03-16,Overcast clouds,+36°,+32°
2021-03-17,Broken clouds,+46°,+39°
2021-03-18,Heavy intensity rain,+45°,+45°
2021-03-19,Few clouds,+39°,+39°
2021-03-20,Clear sky,+55°,+34°
2021-03-21,Clear sky,+61°,+43°
2021-03-22,Clear sky,+59°,+46°
2021-03-23,Broken clouds,+63°,+46°
2021-03-24,Drizzle,+55°,+50°
2021-03-25,Broken clouds,+68°,+54°
2021-03-26,Few clouds,+73°,+57°
2021-03-27,Overcast clouds,+64°,+55°
2021-03-28,Heavy intensity rain,+55°,+54°
2021-03-29,Clear sky,+54°,+52°
2021-03-30,Few clouds,+59°,+45°
2021-03-31,Broken clouds,+63°,+52°
2021-04-01,Light intensity shower rain,+48°,+54°
2021-04-02,Overcast clouds,+37°,+37°
2021-04-03,Clear sky,+50°,+34°
2021-04-04,Few clouds,+59°,+46°
2021-04-05,Clear sky,+64°,+52°
2021-04-06,Clear sky,+64°,+52°
2021-04-07,Clear sky,+66°,+55°
2021-04-08,Broken clouds,+66°,+52°
2021-04-09,Overcast clouds,+57°,+52°
2021-04-10,Broken clouds,+63°,+52°
2021-04-11,Heavy intensity rain,+57°,+57°
2021-04-12,Drizzle,+50°,+48°
2021-04-13,Clear sky,+61°,+46°
2021-04-14,Overcast clouds,+70°,+54°
2021-04-15,Heavy intensity rain,+52°,+57°
2021-04-16,Partly cloudy,+52°,+45°
2021-04-17,Overcast clouds,+55°,+45°
2021-04-18,Broken clouds,+61°,+50°
2021-04-19,Overcast clouds,+63°,+54°
2021-04-20,Partly cloudy,+72°,+54°
2021-04-21,Overcast clouds,+63°,+59°
2021-04-22,Overcast clouds,+48°,+39°
2021-04-23,Broken clouds,+59°,+41°
2021-04-24,Broken clouds,+68°,+55°
2021-04-25,Overcast clouds,+61°,+55°
2021-04-26,Clear sky,+57°,+50°
2021-04-27,Clear sky,+61°,+48°
2021-04-28,Broken clouds,+81°,+55°
2021-04-29,Overcast clouds,+73°,+64°
